id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RAB22A	2	4.5664e-05	7.3139e-05	0.734675	1	1	-2.6276	0.2209	0.22433	0.884333	3124	1	-2.6276
LOC108175964	2	0.00011031	0.0001968	0.734675	2	2	-4.6632	0.99989	0.99988	0.999881	14011	0	-4.6632
MALT1	2	0.00018892	0.00036852	0.734675	3	2	-3.7342	0.99981	0.99981	0.999881	14010	0	-3.7342
MST1	3	0.00020547	0.00061939	0.734675	4	3	-1.2223	0.98972	0.98976	0.995806	13888	0	-1.2223
LOC103349305	1	0.00020549	0.00020811	0.734675	5	1	-5.6624	0.99979	0.99982	0.999881	14009	0	-5.6624
XPNPEP1	3	0.0002538	0.00076213	0.734675	6	3	-2.704	0.99975	0.99974	0.999881	14008	0	-2.704
P2RX6	1	0.00029682	0.00030139	0.734675	7	1	-5.5816	0.9997	0.99973	0.999881	14007	0	-5.5816
DLG4	2	0.00031962	0.00061868	0.734675	8	2	-3.8976	0.99494	0.99482	0.998526	13958	0	-3.8976
MLX	1	0.00041098	0.00042647	0.734675	9	1	-5.0916	0.99959	0.99962	0.999881	14006	0	-5.0916
WDR34	2	0.00050224	0.00094798	0.734675	10	1	-0.081069	0.024236	0.044558	0.884333	507	1	-0.081069
KIAA0825	3	0.00051967	0.0014999	0.734675	11	2	-2.7351	0.87316	0.87318	0.958116	12742	0	-2.7351
FGD1	1	0.00068496	0.00069995	0.734675	12	1	-4.837	0.99932	0.99936	0.999785	14004	0	-4.837
POLRMT	1	0.00068496	0.00069995	0.734675	13	1	-4.837	0.99932	0.99936	0.999785	14005	0	-4.837
EMC6	1	0.00068496	0.00069995	0.734675	14	1	-4.837	0.99932	0.99936	0.999785	14003	0	-4.837
MRPL19	2	0.00082179	0.0015253	0.734675	15	2	-3.5008	0.95272	0.95269	0.976495	13176	0	-3.5008
RBM19	2	0.00082179	0.0015253	0.734675	16	1	1.6248	4.5664e-05	7.3139e-05	0.512376	2	1	1.6248
MFAP4	1	0.00084479	0.00085117	0.734675	17	1	-4.0029	0.99916	0.9992	0.999785	14002	0	-4.0029
LOC100357686	1	0.00091328	0.00092113	0.734675	18	1	-4.9146	0.99909	0.99912	0.999785	14001	0	-4.9146
AVEN	1	0.00098178	0.0009706	0.734675	19	1	-4.9614	0.99902	0.99906	0.999785	14000	0	-4.9614
ENTPD5	1	0.0010274	0.0010045	0.734675	20	1	-4.3445	0.99897	0.99902	0.999785	13999	0	-4.3445
LOC100356569	2	0.00105	0.0019649	0.734675	21	2	-3.2597	0.95272	0.95269	0.976495	13116	0	-3.2597
LOC103345676	1	0.0012558	0.0012306	0.734675	22	1	-4.4448	0.99874	0.9988	0.999724	13998	0	-4.4448
TMEM263	1	0.0013471	0.0013331	0.734675	23	1	-4.5473	0.99865	0.99872	0.999722	13997	0	-4.5473
RPL6	2	0.0013695	0.0026164	0.734675	24	1	-2.1428	0.34058	0.34057	0.884333	4737	0	-2.1428
