id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SETDB1	2	2.6805e-07	3.502e-07	0.00495	1	2	-5.6269	1.0	1.0	1.0	14136	0	-5.6269
FIGN	1	6.7531e-05	7.1792e-05	0.442794	2	1	-8.3687	0.99993	0.99993	1.0	14135	0	-8.3687
MAP1A	2	0.00010583	0.00019016	0.442794	3	2	-6.4527	0.99989	0.99989	1.0	14134	0	-6.4527
DLX4	2	0.00011385	0.00020977	0.442794	4	2	-5.999	0.99989	0.99988	1.0	14133	0	-5.999
LOC100347489	3	0.00012038	0.00037437	0.457508	5	2	-6.4854	0.73809	0.73808	0.882595	9757	0	-6.4854
ANKDD1A	2	0.00013754	0.0002553	0.442794	6	2	-6.6255	0.99986	0.99986	1.0	14132	0	-6.6255
NKAIN2	2	0.00015106	0.00028191	0.442794	7	2	-5.9469	0.99985	0.99985	1.0	14131	0	-5.9469
LOC100341499	3	0.0001567	0.00047803	0.482673	8	3	-2.459	0.99984	0.99983	1.0	14130	0	-2.459
B9D1	1	0.00015757	0.00015934	0.442794	9	1	-7.9244	0.99984	0.99986	1.0	14129	0	-7.9244
SEC61A1	1	0.00020259	0.00020767	0.442794	10	1	-7.7881	0.9998	0.99983	1.0	14128	0	-7.7881
POMGNT2	2	0.00022509	0.0004318	0.469535	11	2	-4.8244	0.94303	0.94296	0.970593	13358	0	-4.8244
FIBCD1	1	0.00024761	0.00024759	0.442794	12	1	-7.7519	0.99975	0.99978	1.0	14127	0	-7.7519
SLC25A48	1	0.00033766	0.00034215	0.457508	13	1	-7.6175	0.99966	0.99969	1.0	14126	0	-7.6175
PROX2	1	0.00038268	0.00038838	0.457508	14	1	-7.5973	0.99962	0.99965	1.0	14125	0	-7.5973
POMGNT1	2	0.00051486	0.0010124	0.682461	15	2	-4.3832	0.99949	0.99947	1.0	14124	0	-4.3832
PTGES	1	0.00056276	0.00057188	0.538944	16	1	-7.4125	0.99944	0.99947	1.0	14123	0	-7.4125
ARHGAP4	1	0.00060778	0.00062021	0.547958	17	1	-7.4009	0.99939	0.99944	1.0	14122	0	-7.4009
CCDC146	1	0.0006528	0.00066924	0.556494	18	1	-7.6452	0.99935	0.9994	1.0	14121	0	-7.6452
RAB37	3	0.00073286	0.0021065	0.744433	19	3	-3.8575	0.9864	0.98648	0.997922	13926	0	-3.8575
LIAS	3	0.00075178	0.0021576	0.744433	20	3	-3.4933	0.9864	0.98648	0.997922	13900	0	-3.4933
EMP3	3	0.0008522	0.0024301	0.744433	21	2	-1.2471	0.033783	0.062147	0.882595	664	1	-1.2471
ABHD1	2	0.00085521	0.0016372	0.744433	22	1	-2.6251	0.18633	0.19086	0.882595	2724	1	-2.6251
ARHGEF15	1	0.00085539	0.00086466	0.679043	23	1	-7.3042	0.99914	0.99918	1.0	14120	0	-7.3042
AWAT2	3	0.00087765	0.0024938	0.744433	24	1	0.91891	0.061171	0.10657	0.882595	1055	2	0.91891
FAM98C	2	0.00094521	0.001799	0.744433	25	2	-4.4817	0.8232	0.82257	0.951465	12222	0	-4.4817
IGFBP4	1	0.00094543	0.0009417	0.682461	26	1	-7.9953	0.99905	0.99909	1.0	14119	0	-7.9953
FBXW8	1	0.0010355	0.0010138	0.682461	27	1	-7.2663	0.99896	0.99901	1.0	14118	0	-7.2663
RAB39B	1	0.001148	0.0011252	0.710602	28	1	-7.2272	0.99885	0.99889	1.0	14117	0	-7.2272
NC0786	1	0.001193	0.0011644	0.710602	29	1	-7.488	0.99881	0.99885	1.0	14116	0	-7.488
POLR2K	1	0.0012381	0.0012065	0.710602	30	1	-7.9034	0.99876	0.99881	1.0	14115	0	-7.9034
LOC103346119	2	0.0013952	0.0027137	0.744433	31	1	-3.5963	0.42981	0.42955	0.882595	5493	0	-3.5963
NFE2L2	2	0.0014851	0.0028937	0.744433	32	2	-4.4991	0.82667	0.8261	0.954064	12240	0	-4.4991
CDH19	1	0.0014857	0.0014712	0.744433	33	1	-7.7907	0.99851	0.99858	1.0	14114	0	-7.7907
HSD17B4	2	0.0015751	0.0030758	0.744433	34	2	-4.3304	0.94303	0.94296	0.970593	13232	0	-4.3304
ESAM	1	0.0015982	0.0015791	0.744433	35	1	-7.0597	0.9984	0.99847	1.0	14113	0	-7.0597
RNLS	1	0.0016433	0.0016246	0.744433	36	1	-7.0448	0.99836	0.99843	1.0	14112	0	-7.0448
CIC	1	0.0017558	0.0017248	0.744433	37	1	-7.746	0.99824	0.99829	1.0	14111	0	-7.746
LOC100343611	1	0.0018684	0.0018501	0.744433	38	1	-7.0146	0.99813	0.99817	1.0	14110	0	-7.0146
