id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SETDB1	2	7.6224e-07	2.4987e-06	0.024752	1	2	-7.9628	1.0	1.0	1.0	9906	0	-7.9628
LOC100347489	3	4.514e-05	0.00013843	0.342822	2	3	-5.7847	0.99995	0.99995	1.0	9905	0	-5.7847
LOC108178954	2	7.5917e-05	0.00013643	0.342822	3	1	-3.8586	0.27778	0.28228	0.837823	2671	1	-3.8586
SERTAD2	1	0.00011388	0.00012544	0.342822	4	1	-8.2083	0.99989	0.99989	1.0	9904	0	-8.2083
TCEA3	2	0.00016853	0.00030634	0.598185	5	2	-6.2456	0.99983	0.99985	1.0	9903	0	-6.2456
MYH10	3	0.00028864	0.00088805	0.679662	6	3	-4.2485	0.99971	0.9997	1.0	9902	0	-4.2485
GBX2	1	0.00034163	0.00036232	0.598185	7	1	-8.6703	0.99966	0.99968	1.0	9901	0	-8.6703
PLPP4	3	0.00034688	0.001041	0.679662	8	3	-3.3132	0.99965	0.99964	1.0	9900	0	-3.3132
PTPN11	3	0.00035083	0.001055	0.679662	9	3	-4.0076	0.99965	0.99964	1.0	9899	0	-4.0076
CD59	3	0.00043633	0.0012948	0.679662	10	2	-5.9595	0.7619	0.76169	0.943598	7240	0	-5.9595
SOSTDC1	2	0.00051183	0.001017	0.679662	11	2	-6.1315	0.99949	0.99948	1.0	9898	0	-6.1315
RBM19	2	0.00053136	0.001054	0.679662	12	1	-2.3929	0.0092406	0.017486	0.770952	116	1	-2.3929
RPS25	2	0.00062008	0.0012359	0.679662	13	2	-5.8149	0.99938	0.99937	1.0	9897	0	-5.8149
LOC103345648	2	0.00066236	0.0013088	0.679662	14	2	-5.6172	0.99934	0.99933	1.0	9896	0	-5.6172
CCDC65	1	0.00072123	0.00076411	0.679662	15	1	-7.0488	0.99928	0.99932	1.0	9895	0	-7.0488
MXRA7	2	0.00073869	0.0014428	0.679662	16	2	-6.1053	0.99926	0.99925	1.0	9894	0	-6.1053
LOC100349193	4	0.00075897	0.002908	0.751964	17	2	-0.78266	0.4784	0.49517	0.882019	4810	1	-0.78266
FEV	2	0.00083227	0.0016017	0.679662	18	2	-5.602	0.99917	0.99916	1.0	9893	0	-5.602
NCKAP5L	2	0.00083493	0.0016047	0.679662	19	1	-3.1941	0.27778	0.28228	0.837823	2719	1	-3.1941
RBM6	1	0.00094898	0.000981	0.679662	20	1	-7.5017	0.99905	0.99907	1.0	9892	0	-7.5017
HSD17B4	1	0.0012527	0.0012669	0.679662	21	1	-7.8889	0.99875	0.99879	1.0	9891	0	-7.8889
P4HA1	2	0.0012902	0.0024912	0.751964	22	2	-4.842	0.95555	0.95574	0.997421	9440	0	-4.842
LOC100339842	2	0.001398	0.0027071	0.751964	23	2	-5.4255	0.9986	0.99858	1.0	9890	0	-5.4255
LOC100349709	1	0.0014045	0.0014338	0.679662	24	1	-6.7549	0.9986	0.99865	1.0	9889	0	-6.7549
PDE6H	4	0.0014572	0.0053988	0.751964	25	3	-3.4667	0.64169	0.64147	0.917734	6924	0	-3.4667
ART3	3	0.0014797	0.0041374	0.751964	26	2	-0.37102	0.7619	0.76169	0.943598	7235	0	-0.37102
UNC13B	1	0.0014804	0.0015067	0.679662	27	1	-7.845	0.99852	0.99857	1.0	9888	0	-7.845
TNK1	1	0.0015563	0.0015737	0.679662	28	1	-6.6985	0.99844	0.9985	1.0	9887	0	-6.6985
LOC103351918	2	0.0015937	0.0031059	0.751964	29	2	-4.4473	0.95555	0.95574	0.997421	9475	0	-4.4473
WDR35	4	0.0016145	0.005903	0.751964	30	3	-2.6874	0.85243	0.85272	0.975631	8657	0	-2.6874
FIGN	1	0.0016323	0.0016467	0.679662	31	1	-6.6459	0.99837	0.99841	1.0	9886	0	-6.6459
DERL2	1	0.0017082	0.0017236	0.68297	32	1	-7.717	0.99829	0.99832	1.0	9885	0	-7.717
LOC103352535	3	0.0017705	0.004925	0.751964	33	3	-2.2343	0.99823	0.99827	1.0	9884	0	-2.2343
LOC108178317	1	0.00186	0.0018925	0.712694	34	1	-6.482	0.99814	0.99817	1.0	9883	0	-6.482
LOC103349044	2	0.0019156	0.0037606	0.751964	35	2	-6.4161	0.99808	0.99802	1.0	9882	0	-6.4161
LOC100341229	1	0.0019739	0.0020145	0.712694	36	1	-6.4618	0.99803	0.99806	1.0	9881	0	-6.4618
GRIP1	1	0.0019739	0.0020145	0.712694	37	1	-6.4618	0.99803	0.99806	1.0	9880	0	-6.4618
LOC100346764	2	0.0020488	0.0040185	0.751964	38	2	-6.5225	0.99716	0.99717	1.0	9869	0	-6.5225
ZBTB18	2	0.0020888	0.0040904	0.751964	39	2	-5.1323	0.99791	0.99784	1.0	9879	0	-5.1323
ANKRD6	1	0.0021637	0.0022234	0.751964	40	1	-7.5427	0.99784	0.9979	1.0	9878	0	-7.5427
LYG1	2	0.0022048	0.0043033	0.751964	41	2	-5.5474	0.9978	0.99773	1.0	9877	0	-5.5474
ZBTB39	1	0.0022396	0.0022823	0.751964	42	1	-6.8168	0.99776	0.9978	1.0	9876	0	-6.8168
LOC100339790	1	0.0023155	0.0023693	0.751964	43	1	-6.8099	0.99768	0.99773	1.0	9875	0	-6.8099
EMP3	2	0.002545	0.004958	0.751964	44	2	-4.9895	0.99746	0.99743	1.0	9874	0	-4.9895
MAP1A	2	0.0026028	0.0050899	0.751964	45	2	-4.5852	0.9974	0.99738	1.0	9873	0	-4.5852
LRFN1	1	0.0026192	0.0026632	0.751964	46	1	-7.4358	0.99738	0.99742	1.0	9872	0	-7.4358
LOC100340170	2	0.0026554	0.0051949	0.751964	47	1	-3.8411	0.61585	0.61606	0.882019	6694	0	-3.8411
LOC100355180	1	0.0026951	0.0027301	0.751964	48	1	-7.3754	0.9973	0.99734	1.0	9871	0	-7.3754
NONO	2	0.002788	0.0054377	0.751964	49	2	-5.0431	0.99721	0.99722	1.0	9870	0	-5.0431
DLX4	2	0.0028444	0.0055487	0.751964	50	2	-5.0419	0.99716	0.99717	1.0	9868	0	-5.0419
POMGNT2	1	0.0028469	0.002899	0.751964	51	1	-7.3284	0.99715	0.9972	1.0	9867	0	-7.3284
