id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYH10	4	3.7874e-08	1.2537e-06	0.014851	1	4	-4.5535	1.0	1.0	1.0	11846	0	-4.5535
PLPP4	3	2.1705e-06	5.4328e-06	0.024752	2	3	-4.4369	1.0	1.0	1.0	11845	0	-4.4369
LOC100356833	2	4.1414e-06	6.2686e-06	0.024752	3	2	-5.3529	1.0	1.0	1.0	11844	0	-5.3529
JMJD1C	3	9.0734e-06	3.2179e-05	0.086139	4	2	-5.3357	0.92247	0.92272	0.998838	10943	0	-5.3357
TULP3	1	2.9493e-05	3.6358e-05	0.086139	5	1	-9.3682	0.99997	0.99996	1.0	11843	0	-9.3682
PTPN11	3	3.5086e-05	0.00010991	0.162748	6	3	-4.915	0.99996	0.99997	1.0	11842	0	-4.915
EMP3	2	6.2011e-05	0.00010239	0.162748	7	2	-4.6846	0.99994	0.99994	1.0	11841	0	-4.6846
EPN3	1	8.848e-05	9.9043e-05	0.162748	8	1	-7.3445	0.99991	0.99992	1.0	11840	0	-7.3445
LOC103345648	3	0.00010587	0.00034226	0.368587	9	3	-4.3073	0.99989	0.9999	1.0	11839	0	-4.3073
ABCA6	1	0.00014747	0.00015922	0.209571	10	1	-8.5829	0.99985	0.99988	1.0	11838	0	-8.5829
PDE6H	4	0.00015171	0.00059551	0.50389	11	3	-4.6614	0.37111	0.58609	0.89315	4051	1	-4.6614
FAM46D	1	0.00032443	0.00034226	0.368587	12	1	-6.6367	0.99968	0.99971	1.0	11837	0	-6.6367
FAM217A	3	0.00035377	0.0010786	0.637595	13	3	-4.8189	0.99965	0.99964	1.0	11836	0	-4.8189
LOC103344996	1	0.0004424	0.00047265	0.466584	14	1	-7.7735	0.99956	0.99959	1.0	11835	0	-7.7735
LOC100339842	3	0.00047401	0.0014113	0.637595	15	2	-4.5671	0.77367	0.7985	0.984498	9209	1	-4.5671
KLHDC4	2	0.00053081	0.0010385	0.637595	16	1	-3.9243	0.81817	0.81785	0.987101	9721	0	-3.9243
LOC100358736	3	0.00053471	0.0015584	0.637595	17	3	-3.7351	0.99947	0.99947	1.0	11834	0	-3.7351
CAMKMT	1	0.00056037	0.00058883	0.50389	18	1	-6.3738	0.99944	0.99948	1.0	11833	0	-6.3738
MED12	3	0.00061923	0.0017899	0.637595	19	2	-4.0525	0.8981	0.89818	0.991688	10727	0	-4.0525
C2H2orf70	1	0.00061936	0.00065068	0.513861	20	1	-5.929	0.99938	0.99943	1.0	11832	0	-5.929
ZFPL1	2	0.00065235	0.0012775	0.637595	21	2	-4.672	0.99935	0.99933	1.0	11831	0	-4.672
LOC100344797	3	0.00070914	0.0020348	0.688685	22	2	-3.8223	0.77367	0.7985	0.984498	9221	1	-3.8223
GJA1	2	0.00072191	0.0014029	0.637595	23	2	-4.7094	0.99928	0.99927	1.0	11830	0	-4.7094
CCDC6	3	0.00073358	0.00211	0.694307	24	2	-3.7724	0.77367	0.7985	0.984498	9200	1	-3.7724
MLXIP	2	0.00079333	0.0015291	0.637595	25	2	-5.0983	0.99921	0.99918	1.0	11829	0	-5.0983
C7H7orf34	1	0.00079632	0.00082453	0.610458	26	1	-5.8345	0.9992	0.99925	1.0	11828	0	-5.8345
LOC100358746	3	0.00086487	0.002461	0.723147	27	2	-5.4089	0.96101	0.96136	1.0	11365	0	-5.4089
WDR27	2	0.00088208	0.0016679	0.637595	28	2	-5.4895	0.99912	0.9991	1.0	11827	0	-5.4895
LOC103347383	1	0.0008848	0.00091229	0.635702	29	1	-7.4702	0.99912	0.99915	1.0	11826	0	-7.4702
TNS1	2	0.00093722	0.0017631	0.637595	30	2	-4.9066	0.99906	0.99902	1.0	11825	0	-4.9066
CCNB1	2	0.00097184	0.00183	0.637595	31	2	-4.3219	0.99903	0.99898	1.0	11824	0	-4.3219
CD59	3	0.0011498	0.0032626	0.723147	32	3	-4.3073	0.99815	0.99818	1.0	11814	0	-4.3073
MRPL2	1	0.0011502	0.0011538	0.637595	33	1	-6.0504	0.99885	0.99889	1.0	11823	0	-6.0504
LY6G6C	1	0.0012092	0.0012048	0.637595	34	1	-5.6656	0.99879	0.99885	1.0	11822	0	-5.6656
PPP2R2A	1	0.0012682	0.0012734	0.637595	35	1	-7.2847	0.99873	0.9988	1.0	11821	0	-7.2847
LOC103351797	3	0.0012754	0.0036044	0.723147	36	2	-3.9091	0.96101	0.96136	1.0	11344	0	-3.9091
BAZ2A	3	0.001367	0.0038376	0.723147	37	2	-3.498	0.77367	0.7985	0.984498	9202	1	-3.498
ELF2	1	0.0014452	0.0014572	0.637595	38	1	-5.57	0.99855	0.99863	1.0	11820	0	-5.57
INPP5J	2	0.0015225	0.0029466	0.723147	39	2	-3.8819	0.99848	0.9984	1.0	11819	0	-3.8819
