id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
B9D2	2	4.4417e-06	6.7354e-06	0.064356	1	2	-6.1561	1.0	1.0	0.999997	9555	0	-6.1561
CR1	1	3.9765e-05	4.922e-05	0.235149	2	1	-8.3843	0.99996	0.99995	0.999997	9554	0	-8.3843
LOC100342401	2	4.7324e-05	7.4089e-05	0.235974	3	2	-4.2453	0.99995	0.99996	0.999997	9553	0	-4.2453
RBM43	1	0.00011929	0.00013626	0.325495	4	1	-6.5433	0.99988	0.99989	0.999997	9552	0	-6.5433
TMEM150A	1	0.00019882	0.00021709	0.414851	5	1	-7.333	0.9998	0.99982	0.999997	9551	0	-7.333
DCAF17	1	0.00047718	0.00052173	0.687723	6	1	-7.1793	0.99952	0.99954	0.999997	9550	0	-7.1793
CIPC	1	0.00047718	0.00052173	0.687723	7	1	-7.1793	0.99952	0.99954	0.999997	9549	0	-7.1793
CRISP1	2	0.00054484	0.0010533	0.687723	8	2	-1.6672	0.99946	0.99947	0.999997	9548	0	-1.6672
RNASET2	2	0.00054484	0.0010533	0.687723	9	2	-2.3373	0.99946	0.99947	0.999997	9547	0	-2.3373
SUSD1	3	0.00059552	0.0017289	0.687723	10	2	-1.3843	0.87503	0.87458	0.948347	7948	0	-1.3843
SLC16A10	3	0.00059552	0.0017289	0.687723	11	2	-1.3843	0.23348	0.35317	0.837476	1816	1	-1.3843
CCDC40	1	0.00059647	0.00063779	0.687723	12	1	-6.0515	0.9994	0.99943	0.999997	9546	0	-6.0515
MAP4K4	1	0.000676	0.00072483	0.687723	13	1	-6.4068	0.99932	0.99936	0.999997	9545	0	-6.4068
GJA1	2	0.00071563	0.0013839	0.687723	14	2	-3.9793	0.96544	0.96559	0.99749	9232	0	-3.9793
IL25	3	0.00083482	0.0023983	0.721838	15	1	0.15198	0.87503	0.87458	0.948347	7933	0	0.15198
ZBTB2	1	0.00083506	0.00087819	0.687723	16	1	-6.9764	0.99916	0.99921	0.999997	9544	0	-6.9764
DOCK8	1	0.00091459	0.00096316	0.687723	17	1	-6.9236	0.99909	0.99911	0.999997	9543	0	-6.9236
DNAJB6	1	0.00099411	0.001016	0.687723	18	1	-6.3539	0.99901	0.99904	0.999997	9542	0	-6.3539
CDK8	2	0.0010503	0.0020159	0.713421	19	2	-1.4274	0.99895	0.99899	0.999997	9541	0	-1.4274
RFX2	1	0.0010736	0.0010958	0.687723	20	1	-6.8688	0.99893	0.99897	0.999997	9540	0	-6.8688
NF1	2	0.0010867	0.0020916	0.713755	21	2	-2.4916	0.99891	0.99895	0.999997	9539	0	-2.4916
CCDC102B	1	0.0012725	0.0012854	0.687723	22	1	-5.6584	0.99873	0.99879	0.999997	9537	0	-5.6584
ASIP	1	0.0012725	0.0012854	0.687723	23	1	-6.7403	0.99873	0.99879	0.999997	9538	0	-6.7403
EMC1	1	0.0013918	0.001417	0.687723	24	1	-5.5702	0.99861	0.99868	0.999997	9536	0	-5.5702
SUFU	2	0.0015105	0.0029309	0.721838	25	1	-2.6205	0.42273	0.42957	0.837476	3496	1	-2.6205
PHF21A	1	0.0015508	0.0015569	0.687723	26	1	-6.5857	0.99845	0.99851	0.999997	9535	0	-6.5857
C17H14orf93	1	0.0016303	0.0016305	0.687723	27	1	-6.4873	0.99837	0.99843	0.999997	9534	0	-6.4873
MEGF8	1	0.0017099	0.0017113	0.687723	28	1	-5.6954	0.99829	0.99834	0.999997	9533	0	-5.6954
RCAN3	2	0.0017135	0.003335	0.721838	29	2	-2.0509	0.99829	0.9983	0.999997	9532	0	-2.0509
REV1	2	0.0017135	0.003335	0.721838	30	2	-2.0509	0.99829	0.9983	0.999997	9531	0	-2.0509
RASL11B	1	0.0017894	0.0017994	0.687723	31	1	-6.3499	0.99821	0.99826	0.999997	9530	0	-6.3499
SLF1	3	0.0018069	0.004993	0.721838	32	3	-1.4908	0.99819	0.9982	0.999997	9529	0	-1.4908
DLG2	3	0.0018069	0.004993	0.721838	33	3	-1.4908	0.99819	0.9982	0.999997	9528	0	-1.4908
PLEKHM1	1	0.0018689	0.0018895	0.694402	34	1	-5.7919	0.99813	0.99818	0.999997	9527	0	-5.7919
SIX1	1	0.0022666	0.0022968	0.721838	35	1	-4.4498	0.99773	0.9978	0.999997	9526	0	-4.4498
SYNPR	1	0.0023461	0.0023734	0.721838	36	1	-4.8158	0.99765	0.99772	0.999997	9525	0	-4.8158
MTPN	1	0.0024256	0.0024594	0.721838	37	1	-4.1001	0.99757	0.99763	0.999997	9524	0	-4.1001
LOC100349717	1	0.0027835	0.0027972	0.721838	38	1	-4.2559	0.99722	0.99727	0.999997	9523	0	-4.2559
SLC35D3	1	0.0027835	0.0027972	0.721838	39	1	-4.2559	0.99722	0.99727	0.999997	9522	0	-4.2559
LOC108177049	2	0.0028732	0.005594	0.721838	40	2	-1.7291	0.99713	0.99716	0.999997	9521	0	-1.7291
STIM1	2	0.0028732	0.005594	0.721838	41	2	-0.94966	0.99713	0.99716	0.999997	9520	0	-0.94966
LOC103350872	1	0.0029028	0.0029278	0.721838	42	1	-3.707	0.9971	0.99716	0.999997	9519	0	-3.707
GRK7	2	0.0029404	0.0057225	0.721838	43	1	-3.778	0.91304	0.91308	0.965741	8954	0	-3.778
PPP1R3G	1	0.0030619	0.0030677	0.721838	44	1	-3.9527	0.99694	0.99702	0.999997	9518	0	-3.9527
CXCL11	2	0.0030992	0.0060178	0.721838	45	2	-0.84861	0.9969	0.99694	0.999997	9517	0	-0.84861
LOC100338042	1	0.0031414	0.0031433	0.721838	46	1	-3.1222	0.99686	0.99694	0.999997	9516	0	-3.1222
MMP7	4	0.0031682	0.0097513	0.721838	47	2	-0.72248	0.24532	0.37561	0.837476	2898	2	-0.72248
FOXP1	4	0.0031682	0.0097513	0.721838	48	2	-0.72248	0.24532	0.37561	0.837476	2896	2	-0.72248
