id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LOC103351980	1	3.0079e-05	3.8373e-05	0.319307	1	1	-3.8527	0.99997	0.99996	0.999968	11740	0	-3.8527
LOC100342466	2	3.3352e-05	5.4396e-05	0.319307	2	2	-6.1795	0.99997	0.99997	0.999968	11739	0	-6.1795
PAG1	3	0.0001028	0.0003327	0.60441	3	2	-5.0062	0.87266	0.87278	0.988184	10180	0	-5.0062
SLC39A10	2	0.00012186	0.00021042	0.60441	4	2	-5.9307	0.99988	0.99989	0.999968	11738	0	-5.9307
LOC100356833	3	0.00015173	0.0004668	0.60441	5	2	-1.1499	0.87266	0.87278	0.988184	10198	0	-1.1499
GPR183	2	0.00018046	0.00033017	0.60441	6	1	-0.81846	0.25192	0.25691	0.858856	2654	1	-0.81846
DPEP1	1	0.00021055	0.00022644	0.60441	7	1	-9.2146	0.99979	0.99982	0.999968	11737	0	-9.2146
THAP3	2	0.00030077	0.00056631	0.60441	8	1	-2.0964	0.10973	0.13143	0.805853	1227	1	-2.0964
LOC103351797	3	0.00034922	0.0010664	0.617312	9	2	-5.566	0.97486	0.97504	0.998099	11442	0	-5.566
LOC103352028	3	0.00036135	0.0011035	0.617312	10	3	-3.3146	0.99964	0.99963	0.999968	11736	0	-3.3146
IQSEC1	1	0.00039102	0.00040608	0.60441	11	1	-8.845	0.99961	0.99964	0.999968	11735	0	-8.845
ZBTB45	1	0.00045118	0.0004786	0.60441	12	1	-8.6746	0.99955	0.99958	0.999968	11734	0	-8.6746
PXK	3	0.0004725	0.0014055	0.617312	13	2	-5.4365	0.97486	0.97504	0.998099	11437	0	-5.4365
SMIM19	2	0.00049009	0.00097197	0.617312	14	2	-5.1654	0.99951	0.99949	0.999968	11733	0	-5.1654
LOC100339074	1	0.00051134	0.0005368	0.60441	15	1	-8.561	0.99949	0.99952	0.999968	11732	0	-8.561
ATF2	2	0.00054135	0.0010647	0.617312	16	1	-3.959	0.25192	0.25691	0.858856	2687	1	-3.959
LAMP3	3	0.00055919	0.0016315	0.617312	17	3	-3.5331	0.99944	0.99945	0.999968	11731	0	-3.5331
SLC12A2	2	0.00067538	0.0013262	0.617312	18	2	-4.7541	0.99932	0.99932	0.999968	11730	0	-4.7541
KBTBD12	1	0.00075197	0.00077715	0.617312	19	1	-6.5264	0.99925	0.9993	0.999968	11729	0	-6.5264
LOC108177012	2	0.00082687	0.0015935	0.617312	20	2	-5.291	0.99917	0.99916	0.999968	11728	0	-5.291
ORYCUNV1R1649	3	0.00088173	0.0025094	0.687796	21	3	-2.7431	0.99912	0.99912	0.999968	11727	0	-2.7431
SMLR1	2	0.00089931	0.0017082	0.617312	22	2	-4.777	0.9991	0.99908	0.999968	11726	0	-4.777
UBE4B	1	0.00090236	0.0009239	0.617312	23	1	-6.4107	0.9991	0.99914	0.999968	11724	0	-6.4107
ERLIN2	1	0.00090236	0.0009239	0.617312	24	1	-6.4107	0.9991	0.99914	0.999968	11725	0	-6.4107
PLPP4	3	0.00094718	0.0026949	0.687796	25	3	-1.1563	0.99905	0.99907	0.999968	11723	0	-1.1563
SIAH1	3	0.00099227	0.0028155	0.688634	26	1	-1.3935	0.35297	0.36494	0.894306	4488	1	-1.3935
LY6G6C	1	0.0009926	0.00099389	0.617312	27	1	-6.4047	0.99901	0.99905	0.999968	11722	0	-6.4047
FBXO3	1	0.0010528	0.0010512	0.617312	28	1	-6.2669	0.99895	0.999	0.999968	11721	0	-6.2669
OXSR1	2	0.0010828	0.002065	0.673405	29	2	-4.4732	0.99892	0.99888	0.999968	11720	0	-4.4732
FGF12	3	0.0011728	0.0033266	0.697401	30	3	-3.3146	0.99883	0.99886	0.999968	11719	0	-3.3146
DOLPP1	3	0.0011728	0.0033266	0.697401	31	3	-2.5562	0.99883	0.99886	0.999968	11718	0	-2.5562
43896	1	0.0012934	0.0012958	0.617312	32	1	-7.2199	0.99871	0.99877	0.999968	11717	0	-7.2199
LOC100344740	1	0.0013535	0.0013616	0.617312	33	1	-5.9881	0.99865	0.99873	0.999968	11716	0	-5.9881
WFDC11	2	0.0013732	0.0026452	0.687796	34	2	-4.782	0.99863	0.99858	0.999968	11715	0	-4.782
IKBKB	1	0.0014137	0.0014248	0.617312	35	1	-7.1637	0.99859	0.99866	0.999968	11714	0	-7.1637
USP20	1	0.0015039	0.0015117	0.617312	36	1	-5.9555	0.9985	0.99856	0.999968	11713	0	-5.9555
B9D2	1	0.0015942	0.0015918	0.617312	37	1	-7.1305	0.99841	0.99848	0.999968	11712	0	-7.1305
SFTPB	2	0.0016236	0.0031529	0.697401	38	1	-3.7062	0.53257	0.53277	0.894306	6826	0	-3.7062
LOC100356607	1	0.0016543	0.0016568	0.617312	39	1	-7.0707	0.99835	0.99841	0.999968	11711	0	-7.0707
DNAJB6	2	0.0017031	0.003319	0.697401	40	2	-4.7674	0.9983	0.99822	0.999968	11709	0	-4.7674
PTGR1	2	0.0017031	0.003319	0.697401	41	2	-4.2899	0.9983	0.99822	0.999968	11710	0	-4.2899
ANKZF1	3	0.0017135	0.004805	0.766542	42	2	-1.7827	0.97486	0.97504	0.998099	11462	0	-1.7827
LOC100344844	1	0.0017446	0.0017352	0.617312	43	1	-6.9619	0.99826	0.9983	0.999968	11707	0	-6.9619
PDHA1	1	0.0017446	0.0017352	0.617312	44	1	-6.9619	0.99826	0.9983	0.999968	11708	0	-6.9619
LOC100355936	1	0.0018348	0.001844	0.636721	45	1	-6.914	0.99817	0.99822	0.999968	11706	0	-6.914
CRP	3	0.0018784	0.0052436	0.766542	46	2	-3.5638	0.076726	0.1314	0.805853	1041	1	-3.5638
