id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AURKAIP1	2	2.7863e-06	7.3905e-06	0.064356	1	2	-2.9514	1.0	1.0	0.999998	8708	0	-2.9514
MSL1	1	4.5114e-05	5.1733e-05	0.225248	2	1	-7.8071	0.99995	0.99995	0.999998	8707	0	-7.8071
LOC103346363	3	0.00011917	0.00037009	0.619637	3	2	-2.1614	0.93683	0.93656	0.970666	8355	0	-2.1614
C12H6orf52	1	0.00013534	0.00014838	0.430693	4	1	-5.9004	0.99986	0.99987	0.999998	8706	0	-5.9004
FOXP3	1	0.00022557	0.00022797	0.496287	5	1	-5.0513	0.99977	0.99979	0.999998	8705	0	-5.0513
NUDT2	1	0.00040603	0.00042694	0.619637	6	1	-3.816	0.99959	0.99961	0.999998	8704	0	-3.816
NFX1	1	0.00049626	0.00052131	0.648515	7	1	-4.363	0.9995	0.99951	0.999998	8703	0	-4.363
SLC27A5	2	0.00054823	0.0011228	0.686141	8	2	-2.2557	0.99945	0.99945	0.999998	8702	0	-2.2557
LRIF1	1	0.00058648	0.00061	0.663985	9	1	-4.0203	0.99941	0.99944	0.999998	8701	0	-4.0203
SMARCD1	3	0.00072142	0.0020392	0.686141	10	3	-1.6669	0.99928	0.99926	0.999998	8700	0	-1.6669
LOC100358827	3	0.00072142	0.0020392	0.686141	11	3	-1.4745	0.99928	0.99926	0.999998	8699	0	-1.4745
SYNE3	1	0.00085717	0.00088288	0.686141	12	1	-2.7512	0.99914	0.99917	0.999998	8698	0	-2.7512
SERPINI2	3	0.0009471	0.0026577	0.686141	13	1	-1.0619	0.93683	0.93656	0.970666	8390	0	-1.0619
MAP1LC3C	1	0.0009474	0.00095792	0.686141	14	1	-2.9965	0.99905	0.99908	0.999998	8697	0	-2.9965
EIF2S2	1	0.0012181	0.0011876	0.686141	15	1	-3.4314	0.99878	0.99884	0.999998	8696	0	-3.4314
KIF3C	1	0.0012181	0.0011876	0.686141	16	1	-2.4862	0.99878	0.99884	0.999998	8695	0	-2.4862
PARS2	2	0.001353	0.0026498	0.686141	17	1	-2.31	0.84138	0.84145	0.949746	7273	0	-2.31
OLFR555	2	0.0015333	0.0029988	0.686141	18	1	-1.4787	0.17846	0.17915	0.781602	1179	1	-1.4787
LOC103346380	1	0.0016692	0.0016265	0.686141	19	1	-2.3329	0.99833	0.99838	0.999993	8692	0	-2.3329
CRY1	1	0.0016692	0.0016265	0.686141	20	1	-3.2781	0.99833	0.99838	0.999993	8694	0	-3.2781
FAIM2	1	0.0016692	0.0016265	0.686141	21	1	-2.3329	0.99833	0.99838	0.999993	8693	0	-2.3329
LOC100356521	1	0.0022557	0.0022507	0.686141	22	1	-3.1066	0.99774	0.99781	0.999759	8690	0	-3.1066
LOC100358642	1	0.0022557	0.0022507	0.686141	23	1	-2.1614	0.99774	0.99781	0.999759	8689	0	-2.1614
LOC100356014	1	0.0022557	0.0022507	0.686141	24	1	-3.1066	0.99774	0.99781	0.999759	8687	0	-3.1066
CAV2	1	0.0022557	0.0022507	0.686141	25	1	-3.1066	0.99774	0.99781	0.999759	8691	0	-3.1066
