NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
100037716	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	487	NCBI Ortholog
100008899	VEGFA	vascular endothelial growth factor A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7422	NCBI Ortholog
100009540	RYR1	ryanodine receptor 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	6261	NCBI Ortholog
100008645	TGFB1	transforming growth factor beta-1 proprotein	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100327257	CYP2B4	cytochrome P450, family 2, subfamily b, polypeptide 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100008972	PYGM	glycogen phosphorylase, muscle associated	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5837	NCBI Ortholog
100008570	TTN	titin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	50	7273	NCBI Ortholog
100008676	PKM	pyruvate kinase M1/2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	5315	NCBI Ortholog
100009055	ALDOA	aldolase, fructose-bisphosphate A	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	226	NCBI Ortholog
100009053	SCGB1A1	secretoglobin family 1A member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7356	NCBI Ortholog
100009084	HBB2	hemoglobin, beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2		
100125989	TPM1	tropomyosin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	26	7168	NCBI Ortholog
100008993	MMP9	matrix metallopeptidase 9	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4318	NCBI Ortholog
100009074	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2597	NCBI Ortholog
100009000	MMP2	matrix metallopeptidase 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4313	NCBI Ortholog
100009270	EDN1	endothelin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1906	NCBI Ortholog
100009400	MYL1	myosin light chain 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	4632	NCBI Ortholog
100009579	HIF1A	hypoxia inducible factor 1 subunit alpha	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3091	NCBI Ortholog
100009088	TNF	tumor necrosis factor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7124	NCBI Ortholog
100009341	TNNC2	troponin C2, fast skeletal type	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7125	NCBI Ortholog
100009536	RYR2	ryanodine receptor 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	6262	NCBI Ortholog
100009114	ALOX15	arachidonate 15-lipoxygenase	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	246	NCBI Ortholog
100008919	HMOX1	heme oxygenase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	3162	NCBI Ortholog
100009186	SLC15A1	solute carrier family 15 member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	6564	NCBI Ortholog
100008660	GYS1	glycogen synthase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	2997	NCBI Ortholog
100009249	HBA	alpha-hemoglobin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1		
100008990	IL1B	interleukin 1 beta	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	3553	NCBI Ortholog
100008892	PPARG	peroxisome proliferator activated receptor gamma	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	5468	NCBI Ortholog
100009519	TRDN	triadin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	10345	NCBI Ortholog
100009232	HLTF	helicase like transcription factor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	13	6596	NCBI Ortholog
100009299	PLN	phospholamban	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5350	NCBI Ortholog
100009274	ACE	angiotensin I converting enzyme	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	1636	NCBI Ortholog
100009522	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	6	27102	NCBI Ortholog
100348755	S100A6	S100 calcium binding protein A6	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	6277	NCBI Ortholog
100008658	PRNP	prion protein (Kanno blood group)	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	5621	NCBI Ortholog
100009058	GYG1	glycogenin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2992	NCBI Ortholog
100101567	POU5F1	POU class 5 homeobox 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5460	NCBI Ortholog
100009506	ACTA1	actin alpha 1, skeletal muscle	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	58	NCBI Ortholog
100038308	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	488	NCBI Ortholog
100009127	F3	coagulation factor III, tissue factor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2152	NCBI Ortholog
100009050	CALR	calreticulin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	811	NCBI Ortholog
100009091	CRP	C-reactive protein	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1401	NCBI Ortholog
100009545	RYR3	ryanodine receptor 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	6263	NCBI Ortholog
100008935	GJA1	gap junction protein alpha 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	2697	NCBI Ortholog
100009497	TLR4	toll like receptor 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	7099	NCBI Ortholog
100009364	TRPV5	transient receptor potential cation channel subfamily V member 5	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	56302	NCBI Ortholog
100008805	CYP4B1	CYP4B1-like isozyme short form	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	1580	NCBI Ortholog
100009325	GHR	growth hormone receptor	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	9	2690	NCBI Ortholog
100009164	AGTR1	angiotensin II receptor type 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	185	NCBI Ortholog
100009298	PPP1CA	protein phosphatase 1 catalytic subunit alpha	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5499	NCBI Ortholog
100009583	YBX1	Y-box binding protein 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4904	NCBI Ortholog
100101555	CACNA1C	calcium voltage-gated channel subunit alpha1 C	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	35	775	NCBI Ortholog
100009142	CAMP	cathelicidin antimicrobial peptide	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	820	NCBI Ortholog
100008926	TRPV1	transient receptor potential cation channel subfamily V member 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	7442	NCBI Ortholog
100009095	CASQ1	calsequestrin 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	844	NCBI Ortholog
100009110	MMP1	matrix metallopeptidase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4312	NCBI Ortholog
100009148	FKBP4	FKBP prolyl isomerase 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2288	NCBI Ortholog
100009498	NOS3	nitric oxide synthase 3	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	3	4846	NCBI Ortholog
100009014	RGS4	regulator of G protein signaling 4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	5999	NCBI Ortholog
100008981	SLC5A11	solute carrier family 5 member 11	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	5	115584	NCBI Ortholog
100009155	PGM1	phosphoglucomutase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	5236	NCBI Ortholog
100125984	TPM2	tropomyosin 2	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	4	7169	NCBI Ortholog
100125998	MSTN	myostatin	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	2660	NCBI Ortholog
100328937	LOC100328937	cytochrome P450 LM4	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	2	1544	NCBI Ortholog
100009243	NOS1	nitric oxide synthase 1	Oryctolagus cuniculus	rabbit	PROTEIN_CODING	1	4842	NCBI Ortholog
